Entry No.,Region,Time Slot,Delivery Day,Article Type,Recipient Type,Distance (km),Delivery Attempt,Delivery Success,Special Instructions
1,Bangalore South,12-2,Tuesday,Package,Business,4.18,2,False,No special instructions
2,Bangalore East,10-12,Friday,Parcel,Government,4.86,1,True,Leave at doorstep
3,Bangalore Central,10-12,Thursday,Letter,Business,13.6,1,False,Leave at doorstep
4,Bangalore Central,12-2,Saturday,Letter,Business,1.39,2,True,Leave at doorstep
5,Bangalore Central,12-2,Tuesday,Document,Business,3.55,1,False,No special instructions
6,Bangalore East,12-2,Monday,Document,Government,12.73,1,False,No special instructions
7,Bangalore Central,3-5,Tuesday,Document,Government,11.33,2,True,Call before delivery
8,Bangalore South,10-12,Monday,Letter,Government,8.3,2,True,No special instructions
9,Bangalore East,3-5,Saturday,Document,Individual,15.0,1,False,Leave at doorstep
10,Bangalore Central,3-5,Wednesday,Package,Individual,7.16,1,True,Call before delivery
11,Bangalore South,3-5,Thursday,Parcel,Government,5.94,1,False,Call before delivery
12,Bangalore North,12-2,Saturday,Document,Individual,11.07,1,False,Call before delivery
13,Bangalore East,3-5,Tuesday,Package,Business,8.4,2,False,Call before delivery
14,Bangalore East,10-12,Wednesday,Letter,Business,3.62,2,True,Signature required
15,Bangalore South,10-12,Tuesday,Package,Individual,14.02,2,True,Signature required
16,Bangalore North,10-12,Saturday,Letter,Business,13.42,1,True,Call before delivery
17,Bangalore Central,3-5,Thursday,Document,Business,13.79,2,True,Leave at doorstep
18,Bangalore East,12-2,Wednesday,Document,Business,14.22,2,False,No special instructions
19,Bangalore East,10-12,Wednesday,Package,Government,6.46,2,True,No special instructions
20,Bangalore East,10-12,Wednesday,Parcel,Government,8.36,1,True,Call before delivery
21,Bangalore South,10-12,Tuesday,Parcel,Individual,12.18,1,True,Call before delivery
22,Bangalore Central,12-2,Wednesday,Parcel,Government,12.2,2,True,No special instructions
23,Bangalore South,10-12,Tuesday,Document,Government,12.34,1,True,Leave at doorstep
24,Bangalore East,12-2,Friday,Letter,Government,13.99,1,False,Call before delivery
25,Bangalore Central,10-12,Thursday,Parcel,Government,4.7,2,True,No special instructions
26,Bangalore Central,10-12,Wednesday,Letter,Individual,5.28,2,True,Call before delivery
27,Bangalore Central,10-12,Tuesday,Letter,Government,3.46,2,False,Call before delivery
28,Bangalore Central,3-5,Friday,Document,Individual,9.85,2,False,Call before delivery
29,Bangalore North,12-2,Wednesday,Letter,Business,14.04,2,False,No special instructions
30,Bangalore East,3-5,Wednesday,Document,Government,10.19,1,False,Signature required
31,Bangalore Central,3-5,Saturday,Package,Government,6.7,2,False,Leave at doorstep
32,Bangalore South,10-12,Thursday,Parcel,Individual,11.78,2,False,No special instructions
33,Bangalore East,3-5,Monday,Parcel,Business,7.44,2,False,Leave at doorstep
34,Bangalore East,12-2,Tuesday,Parcel,Business,5.26,1,True,Call before delivery
35,Bangalore North,3-5,Thursday,Parcel,Individual,2.52,2,True,Call before delivery
36,Bangalore North,12-2,Monday,Package,Individual,10.94,2,False,No special instructions
37,Bangalore South,10-12,Thursday,Document,Individual,9.69,1,True,Signature required
38,Bangalore Central,10-12,Friday,Document,Government,3.17,2,True,No special instructions
39,Bangalore North,12-2,Tuesday,Parcel,Individual,10.9,2,False,Leave at doorstep
40,Bangalore East,12-2,Tuesday,Package,Individual,9.49,1,True,No special instructions
41,Bangalore South,12-2,Wednesday,Letter,Government,4.71,1,False,No special instructions
42,Bangalore Central,10-12,Thursday,Document,Business,2.48,2,True,Signature required
43,Bangalore South,3-5,Thursday,Letter,Business,7.47,2,False,No special instructions
44,Bangalore Central,10-12,Monday,Parcel,Individual,7.74,1,True,Call before delivery
45,Bangalore North,10-12,Saturday,Document,Government,5.5,1,False,Signature required
46,Bangalore East,10-12,Tuesday,Letter,Government,6.61,1,False,Signature required
47,Bangalore East,12-2,Saturday,Letter,Government,6.97,1,True,Call before delivery
48,Bangalore East,3-5,Saturday,Package,Individual,6.43,2,True,Leave at doorstep
49,Bangalore North,10-12,Monday,Document,Government,13.67,1,False,No special instructions
50,Bangalore East,12-2,Wednesday,Parcel,Business,11.06,2,True,Signature required
51,Bangalore East,10-12,Friday,Parcel,Individual,7.86,1,True,Signature required
52,Bangalore South,12-2,Wednesday,Letter,Individual,13.1,2,False,Leave at doorstep
53,Bangalore North,10-12,Friday,Letter,Government,12.01,2,True,Leave at doorstep
54,Bangalore East,3-5,Saturday,Letter,Individual,12.92,2,False,Leave at doorstep
55,Bangalore Central,3-5,Wednesday,Letter,Government,5.13,2,False,No special instructions
56,Bangalore Central,12-2,Friday,Package,Individual,7.5,1,True,Call before delivery
57,Bangalore Central,10-12,Wednesday,Letter,Individual,8.33,2,True,No special instructions
58,Bangalore East,10-12,Saturday,Package,Individual,8.74,1,False,Call before delivery
59,Bangalore East,10-12,Saturday,Parcel,Business,10.85,1,False,Signature required
60,Bangalore South,10-12,Monday,Document,Individual,11.34,2,True,Leave at doorstep
61,Bangalore Central,12-2,Thursday,Parcel,Business,5.38,1,False,Leave at doorstep
62,Bangalore East,12-2,Friday,Package,Government,9.46,1,False,No special instructions
63,Bangalore East,12-2,Monday,Document,Business,14.1,2,False,No special instructions
64,Bangalore East,10-12,Wednesday,Parcel,Government,8.12,2,True,Call before delivery
65,Bangalore East,10-12,Thursday,Document,Government,1.07,2,False,Signature required
66,Bangalore South,10-12,Saturday,Parcel,Individual,8.89,2,False,No special instructions
67,Bangalore Central,3-5,Thursday,Letter,Business,1.82,2,False,No special instructions
68,Bangalore North,10-12,Tuesday,Letter,Individual,10.41,1,False,Signature required
69,Bangalore South,3-5,Wednesday,Parcel,Government,1.58,2,True,Call before delivery
70,Bangalore Central,12-2,Wednesday,Document,Government,2.14,1,True,No special instructions
71,Bangalore East,12-2,Wednesday,Document,Individual,13.03,2,False,Call before delivery
72,Bangalore East,3-5,Tuesday,Parcel,Government,1.48,2,True,Leave at doorstep
73,Bangalore South,12-2,Monday,Letter,Government,6.77,2,True,Call before delivery
74,Bangalore North,12-2,Monday,Letter,Individual,11.33,2,True,Call before delivery
75,Bangalore South,10-12,Thursday,Package,Individual,6.22,1,True,Call before delivery
76,Bangalore South,10-12,Friday,Letter,Individual,7.91,2,False,Leave at doorstep
77,Bangalore East,10-12,Friday,Package,Government,13.68,2,False,No special instructions
78,Bangalore Central,3-5,Friday,Package,Business,1.17,1,True,Signature required
79,Bangalore East,10-12,Friday,Package,Government,7.57,1,False,Signature required
80,Bangalore Central,3-5,Thursday,Parcel,Business,6.3,2,True,Leave at doorstep
81,Bangalore Central,10-12,Thursday,Package,Business,2.34,1,False,Leave at doorstep
82,Bangalore Central,10-12,Wednesday,Document,Business,14.69,2,False,Leave at doorstep
83,Bangalore Central,12-2,Thursday,Document,Individual,10.95,1,True,Signature required
84,Bangalore North,10-12,Thursday,Parcel,Business,12.13,1,False,Call before delivery
85,Bangalore East,12-2,Thursday,Package,Business,11.39,1,False,Leave at doorstep
86,Bangalore East,12-2,Wednesday,Document,Government,14.31,1,True,Leave at doorstep
87,Bangalore South,10-12,Friday,Letter,Government,10.68,2,True,Call before delivery
88,Bangalore Central,3-5,Saturday,Parcel,Individual,6.42,1,False,No special instructions
89,Bangalore East,12-2,Thursday,Parcel,Individual,8.87,2,True,No special instructions
90,Bangalore Central,10-12,Thursday,Letter,Individual,9.96,1,True,No special instructions
91,Bangalore North,3-5,Tuesday,Letter,Individual,8.82,1,True,No special instructions
92,Bangalore Central,3-5,Monday,Document,Business,2.63,1,False,Signature required
93,Bangalore Central,3-5,Monday,Package,Business,5.99,2,True,Leave at doorstep
94,Bangalore South,3-5,Wednesday,Package,Individual,1.66,1,True,No special instructions
95,Bangalore East,10-12,Wednesday,Letter,Business,12.73,1,False,Leave at doorstep
96,Bangalore South,12-2,Monday,Letter,Government,10.7,2,True,Leave at doorstep
97,Bangalore East,12-2,Monday,Package,Government,10.61,1,True,No special instructions
98,Bangalore East,12-2,Saturday,Letter,Government,13.87,2,False,Signature required
99,Bangalore South,10-12,Thursday,Letter,Government,11.7,1,False,No special instructions
100,Bangalore Central,10-12,Wednesday,Package,Business,13.92,2,True,Signature required
101,Bangalore South,3-5,Monday,Package,Individual,14.99,2,True,Signature required
102,Bangalore Central,10-12,Thursday,Document,Individual,5.58,2,True,Call before delivery
103,Bangalore Central,12-2,Thursday,Parcel,Government,12.44,2,False,Call before delivery
104,Bangalore North,12-2,Thursday,Parcel,Business,7.6,2,True,Leave at doorstep
105,Bangalore South,12-2,Wednesday,Document,Government,2.42,2,False,No special instructions
106,Bangalore South,3-5,Tuesday,Package,Individual,9.78,2,False,Leave at doorstep
107,Bangalore Central,3-5,Tuesday,Letter,Business,10.34,2,False,Call before delivery
108,Bangalore Central,12-2,Monday,Letter,Business,13.45,2,False,Leave at doorstep
109,Bangalore South,12-2,Thursday,Document,Business,12.09,1,False,Leave at doorstep
110,Bangalore North,3-5,Thursday,Document,Business,6.59,1,True,Call before delivery
111,Bangalore South,10-12,Wednesday,Document,Government,2.98,1,False,Leave at doorstep
112,Bangalore South,12-2,Friday,Parcel,Government,3.1,1,True,No special instructions
113,Bangalore North,3-5,Wednesday,Parcel,Business,14.56,2,False,No special instructions
114,Bangalore East,12-2,Tuesday,Letter,Individual,3.19,2,False,Leave at doorstep
115,Bangalore East,10-12,Wednesday,Letter,Individual,9.02,1,False,Call before delivery
116,Bangalore Central,10-12,Wednesday,Package,Government,2.03,1,False,Signature required
117,Bangalore Central,10-12,Wednesday,Letter,Individual,14.76,1,False,Signature required
118,Bangalore North,3-5,Wednesday,Parcel,Business,9.17,1,False,Leave at doorstep
119,Bangalore North,3-5,Monday,Parcel,Government,10.12,1,False,No special instructions
120,Bangalore North,10-12,Thursday,Letter,Government,12.15,2,True,Leave at doorstep
121,Bangalore Central,3-5,Friday,Parcel,Government,11.94,1,True,Leave at doorstep
122,Bangalore South,10-12,Thursday,Letter,Business,12.41,1,True,Signature required
123,Bangalore Central,3-5,Saturday,Parcel,Individual,14.76,2,True,Leave at doorstep
124,Bangalore North,3-5,Saturday,Package,Business,2.61,1,True,Signature required
125,Bangalore Central,12-2,Wednesday,Letter,Government,6.52,2,True,Signature required
126,Bangalore East,12-2,Friday,Letter,Government,5.48,2,False,Call before delivery
127,Bangalore North,10-12,Wednesday,Parcel,Government,9.12,2,True,No special instructions
128,Bangalore North,12-2,Friday,Package,Individual,6.35,2,True,Leave at doorstep
129,Bangalore North,12-2,Tuesday,Document,Government,8.59,2,False,Signature required
130,Bangalore East,12-2,Tuesday,Parcel,Business,1.58,2,False,No special instructions
131,Bangalore East,12-2,Friday,Package,Government,13.24,1,False,Signature required
132,Bangalore Central,3-5,Saturday,Parcel,Business,9.72,2,False,Call before delivery
133,Bangalore South,10-12,Tuesday,Parcel,Business,3.77,1,False,Signature required
134,Bangalore North,3-5,Tuesday,Letter,Individual,3.41,1,True,Leave at doorstep
135,Bangalore South,10-12,Tuesday,Package,Business,7.4,2,True,Call before delivery
