CUSTOMER ID,RECEIVER REGION,TIME SLOT,DAY,DISTANCE,NO OF TRIES,DELIVERY OUTCOME
CUST_1,Bangalore South,12-3,Wednesday,10.17,2,1
CUST_2,Bangalore East,3-5,Friday,3.08,1,1
CUST_3,Bangalore North,12-3,Tuesday,11.52,2,0
CUST_4,Bangalore South,10-12,Monday,7.77,1,0
CUST_5,Bangalore North,12-3,Wednesday,6.83,2,0
CUST_6,Bangalore North,10-12,Friday,28.48,2,0
CUST_7,Bangalore East,12-3,Tuesday,15.66,2,0
CUST_8,Bangalore East,12-3,Wednesday,11.68,1,1
CUST_9,Bangalore North,10-12,Tuesday,25.51,2,0
CUST_10,Bangalore North,12-3,Tuesday,14.89,1,1
CUST_11,Bangalore Central,10-12,Monday,6.64,1,1
CUST_12,Bangalore North,10-12,Wednesday,21.24,3,0
CUST_13,Bangalore North,10-12,Monday,9.3,1,0
CUST_14,Bangalore North,12-3,Tuesday,9.93,2,0
CUST_15,Bangalore South,3-5,Wednesday,14.53,2,1
CUST_16,Bangalore South,10-12,Tuesday,5.38,2,0
CUST_17,Bangalore North,3-5,Wednesday,28.93,2,0
CUST_18,Bangalore Central,12-3,Friday,15.17,4,1
CUST_19,Bangalore North,12-3,Wednesday,10.29,1,1
CUST_20,Bangalore South,10-12,Wednesday,27.34,3,1
CUST_21,Bangalore East,10-12,Tuesday,23.74,4,0
CUST_22,Bangalore South,10-12,Tuesday,10.6,3,1
CUST_23,Bangalore North,12-3,Thursday,12.43,1,1
CUST_24,Bangalore Central,3-5,Monday,22.27,2,0
CUST_25,Bangalore East,3-5,Tuesday,2.62,2,1
CUST_26,Bangalore South,12-3,Tuesday,8.45,2,0
CUST_27,Bangalore South,12-3,Thursday,1.09,3,0
CUST_28,Bangalore South,12-3,Wednesday,13.16,1,1
CUST_29,Bangalore Central,3-5,Friday,27.5,3,0
CUST_30,Bangalore North,3-5,Monday,15.47,1,0
CUST_31,Bangalore East,10-12,Monday,17.55,1,0
CUST_32,Bangalore East,3-5,Tuesday,18.01,2,1
CUST_33,Bangalore Central,10-12,Friday,13.64,3,1
CUST_34,Bangalore North,10-12,Wednesday,25.28,1,1
CUST_35,Bangalore Central,3-5,Tuesday,27.52,1,1
CUST_36,Bangalore Central,3-5,Tuesday,9.36,1,0
CUST_37,Bangalore East,3-5,Wednesday,3.82,2,1
CUST_38,Bangalore Central,10-12,Monday,27.62,1,0
CUST_39,Bangalore North,3-5,Thursday,5.42,2,1
CUST_40,Bangalore South,12-3,Thursday,10.15,4,0
