CUSTOMER ID,RECEIVER REGION,TIME SLOT,DAY,DISTANCE,NO OF TRIES,DELIVERY OUTCOME
CUST_1,Bangalore South,12-3,Wednesday,12.03,1,0
CUST_2,Bangalore Central,10-12,Monday,8.19,3,1
CUST_3,Bangalore Central,10-12,Monday,8.33,3,1
CUST_4,Bangalore South,3-5,Wednesday,14.39,2,0
CUST_5,Bangalore South,12-3,Friday,1.44,1,1
CUST_6,Bangalore North,12-3,Thursday,8.93,3,1
CUST_7,Bangalore South,10-12,Tuesday,10.56,2,1
CUST_8,Bangalore Central,12-3,Wednesday,1.63,1,1
CUST_9,Bangalore Central,3-5,Monday,5.81,1,1
CUST_10,Bangalore North,3-5,Friday,6.85,2,0
CUST_11,Bangalore North,10-12,Wednesday,14.94,3,1
CUST_12,Bangalore South,10-12,Friday,13.39,2,0
CUST_13,Bangalore East,10-12,Friday,8.51,3,1
CUST_14,Bangalore South,3-5,Monday,9.4,2,0
CUST_15,Bangalore East,10-12,Wednesday,13.08,1,1
CUST_16,Bangalore East,3-5,Wednesday,12.06,2,0
CUST_17,Bangalore East,10-12,Wednesday,10.43,1,1
CUST_18,Bangalore Central,3-5,Friday,13.37,1,1
CUST_19,Bangalore East,12-3,Thursday,12.68,2,1
CUST_20,Bangalore South,3-5,Thursday,1.76,1,0
CUST_21,Bangalore Central,3-5,Monday,6.64,1,0
CUST_22,Bangalore Central,10-12,Monday,5.92,1,0
CUST_23,Bangalore South,12-3,Wednesday,5.36,2,1
CUST_24,Bangalore East,10-12,Wednesday,10.43,2,0
CUST_25,Bangalore East,10-12,Monday,14.37,2,1
CUST_26,Bangalore East,12-3,Monday,14.49,2,1
CUST_27,Bangalore South,3-5,Friday,10.0,3,0
CUST_28,Bangalore North,10-12,Tuesday,5.63,2,0
CUST_29,Bangalore South,12-3,Thursday,3.41,2,0
CUST_30,Bangalore Central,10-12,Monday,8.63,3,1
CUST_31,Bangalore East,10-12,Wednesday,12.57,2,0
CUST_32,Bangalore South,3-5,Thursday,4.45,1,1
CUST_33,Bangalore North,3-5,Wednesday,8.71,2,1
CUST_34,Bangalore East,3-5,Tuesday,2.23,2,0
CUST_35,Bangalore Central,10-12,Friday,2.46,3,0
CUST_36,Bangalore North,12-3,Tuesday,6.97,2,1
CUST_37,Bangalore Central,3-5,Friday,14.02,2,1
CUST_38,Bangalore Central,3-5,Friday,8.82,3,1
CUST_39,Bangalore East,12-3,Thursday,11.99,2,0
CUST_40,Bangalore East,3-5,Friday,1.5,3,0
CUST_41,Bangalore East,3-5,Thursday,5.01,3,0
CUST_42,Bangalore Central,10-12,Wednesday,10.65,1,1
CUST_43,Bangalore Central,3-5,Thursday,8.98,1,0
CUST_44,Bangalore South,12-3,Wednesday,8.86,3,1
CUST_45,Bangalore North,12-3,Tuesday,2.84,2,0
CUST_46,Bangalore North,10-12,Friday,6.48,2,1
CUST_47,Bangalore East,10-12,Wednesday,13.84,2,0
CUST_48,Bangalore Central,3-5,Friday,12.26,3,0
CUST_49,Bangalore South,12-3,Wednesday,11.89,2,1
CUST_50,Bangalore South,10-12,Wednesday,5.78,2,1
CUST_51,Bangalore East,3-5,Thursday,7.56,2,1
CUST_52,Bangalore North,10-12,Tuesday,9.85,2,1
CUST_53,Bangalore South,3-5,Tuesday,2.2,2,1
CUST_54,Bangalore South,10-12,Friday,6.09,3,1
CUST_55,Bangalore North,12-3,Tuesday,4.16,1,1
CUST_56,Bangalore East,3-5,Tuesday,12.27,2,1
CUST_57,Bangalore South,3-5,Tuesday,9.62,2,1
CUST_58,Bangalore South,12-3,Thursday,1.72,3,0
CUST_59,Bangalore South,12-3,Tuesday,14.95,2,0
CUST_60,Bangalore East,3-5,Friday,10.12,3,1
CUST_61,Bangalore East,10-12,Thursday,1.27,1,1
CUST_62,Bangalore East,10-12,Tuesday,9.55,3,0
CUST_63,Bangalore East,3-5,Wednesday,7.4,2,0
CUST_64,Bangalore North,12-3,Thursday,10.32,1,1
CUST_65,Bangalore North,10-12,Friday,9.96,3,0
CUST_66,Bangalore Central,10-12,Monday,1.25,2,1
CUST_67,Bangalore Central,3-5,Friday,10.54,1,1
CUST_68,Bangalore South,12-3,Wednesday,10.56,3,0
CUST_69,Bangalore Central,12-3,Wednesday,4.42,2,1
CUST_70,Bangalore North,12-3,Monday,3.91,2,1
CUST_71,Bangalore East,3-5,Wednesday,10.5,2,1
CUST_72,Bangalore Central,10-12,Tuesday,13.89,3,1
CUST_73,Bangalore South,3-5,Friday,7.48,3,0
CUST_74,Bangalore South,3-5,Tuesday,7.9,3,0
CUST_75,Bangalore East,10-12,Monday,4.94,3,1
CUST_76,Bangalore North,3-5,Friday,5.55,2,1
CUST_77,Bangalore South,3-5,Wednesday,13.85,2,0
CUST_78,Bangalore South,10-12,Thursday,5.81,2,0
CUST_79,Bangalore South,10-12,Friday,9.63,2,0
CUST_80,Bangalore East,10-12,Friday,13.95,1,0
CUST_81,Bangalore North,12-3,Thursday,5.08,2,1
CUST_82,Bangalore Central,3-5,Tuesday,1.81,2,0
CUST_83,Bangalore North,12-3,Tuesday,14.41,2,1
CUST_84,Bangalore East,3-5,Thursday,4.29,3,1
CUST_85,Bangalore South,10-12,Thursday,12.2,3,0
CUST_86,Bangalore East,3-5,Wednesday,2.64,1,1
CUST_87,Bangalore North,12-3,Monday,11.86,1,1
CUST_88,Bangalore Central,10-12,Friday,4.32,3,0
CUST_89,Bangalore South,10-12,Wednesday,4.86,2,0
CUST_90,Bangalore East,12-3,Thursday,6.76,1,0
CUST_91,Bangalore North,12-3,Tuesday,2.3,1,1
CUST_92,Bangalore East,10-12,Tuesday,11.72,3,1
CUST_93,Bangalore Central,12-3,Friday,10.12,3,0
CUST_94,Bangalore North,10-12,Monday,9.09,2,1
CUST_95,Bangalore Central,10-12,Tuesday,2.27,3,1
CUST_96,Bangalore South,3-5,Monday,13.28,2,1
CUST_97,Bangalore South,3-5,Tuesday,11.98,2,1
CUST_98,Bangalore East,12-3,Wednesday,8.14,2,1
CUST_99,Bangalore East,3-5,Monday,1.55,2,0
CUST_100,Bangalore East,10-12,Monday,6.48,2,0
CUST_101,Bangalore Central,10-12,Monday,11.42,3,0
CUST_102,Bangalore Central,12-3,Friday,4.95,1,1
CUST_103,Bangalore South,10-12,Monday,5.05,1,1
CUST_104,Bangalore North,10-12,Friday,5.48,2,0
CUST_105,Bangalore Central,12-3,Monday,14.73,3,1
CUST_106,Bangalore Central,10-12,Thursday,5.41,2,0
CUST_107,Bangalore Central,10-12,Tuesday,12.39,1,1
CUST_108,Bangalore East,10-12,Wednesday,4.03,2,1
CUST_109,Bangalore East,3-5,Wednesday,13.46,2,1
CUST_110,Bangalore Central,10-12,Friday,10.99,2,1
CUST_111,Bangalore North,10-12,Friday,7.54,2,1
CUST_112,Bangalore East,10-12,Tuesday,10.08,1,1
CUST_113,Bangalore East,12-3,Friday,11.44,3,0
CUST_114,Bangalore North,10-12,Friday,3.4,2,0
CUST_115,Bangalore North,10-12,Thursday,12.57,1,0
CUST_116,Bangalore Central,12-3,Monday,5.09,1,0
CUST_117,Bangalore Central,3-5,Monday,1.04,2,0
CUST_118,Bangalore Central,12-3,Friday,2.52,2,0
CUST_119,Bangalore North,12-3,Tuesday,7.45,2,1
CUST_120,Bangalore East,12-3,Wednesday,12.03,3,1
CUST_121,Bangalore Central,3-5,Tuesday,12.36,3,1
CUST_122,Bangalore North,12-3,Tuesday,9.98,2,0
CUST_123,Bangalore North,10-12,Wednesday,3.29,1,0
CUST_124,Bangalore North,3-5,Tuesday,2.19,1,1
CUST_125,Bangalore East,10-12,Wednesday,12.0,1,0
CUST_126,Bangalore South,10-12,Tuesday,6.52,1,1
CUST_127,Bangalore Central,12-3,Friday,3.6,2,0
CUST_128,Bangalore Central,12-3,Thursday,6.04,1,0
CUST_129,Bangalore North,3-5,Thursday,4.66,2,1
CUST_130,Bangalore East,3-5,Monday,1.75,1,0
CUST_131,Bangalore South,10-12,Thursday,13.58,2,0
CUST_132,Bangalore Central,12-3,Friday,1.98,2,0
CUST_133,Bangalore Central,10-12,Wednesday,11.69,2,0
CUST_134,Bangalore South,10-12,Tuesday,13.41,2,0
CUST_135,Bangalore North,10-12,Monday,9.48,2,0
CUST_136,Bangalore South,12-3,Friday,8.32,3,0
CUST_137,Bangalore South,3-5,Friday,6.37,2,1
CUST_138,Bangalore Central,12-3,Monday,10.93,2,1
CUST_139,Bangalore Central,10-12,Thursday,10.29,2,0
CUST_140,Bangalore Central,10-12,Wednesday,2.4,3,0
CUST_141,Bangalore North,3-5,Wednesday,12.1,3,0
CUST_142,Bangalore East,12-3,Friday,9.64,3,0
CUST_143,Bangalore East,12-3,Monday,11.82,1,0
CUST_144,Bangalore North,10-12,Tuesday,9.06,3,0
CUST_145,Bangalore North,12-3,Friday,13.08,2,1
CUST_146,Bangalore Central,3-5,Friday,2.15,1,1
CUST_147,Bangalore South,12-3,Wednesday,10.06,3,0
CUST_148,Bangalore East,3-5,Thursday,1.1,1,1
CUST_149,Bangalore East,10-12,Monday,6.45,2,0
CUST_150,Bangalore South,3-5,Thursday,13.34,2,0
CUST_151,Bangalore Central,10-12,Thursday,9.21,2,0
CUST_152,Bangalore East,3-5,Monday,4.46,3,0
CUST_153,Bangalore North,3-5,Friday,3.6,2,0
CUST_154,Bangalore North,10-12,Thursday,11.93,2,0
CUST_155,Bangalore North,12-3,Monday,10.92,2,1
CUST_156,Bangalore East,3-5,Thursday,8.12,3,0
CUST_157,Bangalore North,3-5,Wednesday,12.31,2,0
CUST_158,Bangalore East,12-3,Tuesday,13.34,3,1
CUST_159,Bangalore South,10-12,Friday,6.03,1,1
CUST_160,Bangalore Central,10-12,Wednesday,5.89,2,0
CUST_161,Bangalore Central,3-5,Tuesday,3.57,2,0
CUST_162,Bangalore South,12-3,Tuesday,3.32,1,1
CUST_163,Bangalore East,3-5,Thursday,4.54,3,0
CUST_164,Bangalore East,3-5,Thursday,13.52,2,0
CUST_165,Bangalore Central,12-3,Tuesday,10.66,3,1
CUST_166,Bangalore North,12-3,Tuesday,4.55,2,1
CUST_167,Bangalore Central,10-12,Monday,7.49,2,0
CUST_168,Bangalore Central,10-12,Thursday,6.33,1,0
CUST_169,Bangalore Central,3-5,Wednesday,5.85,1,1
CUST_170,Bangalore South,10-12,Tuesday,4.83,2,0
CUST_171,Bangalore Central,12-3,Friday,5.58,1,1
CUST_172,Bangalore North,12-3,Thursday,13.34,3,0
CUST_173,Bangalore East,12-3,Monday,9.58,2,1
CUST_174,Bangalore Central,3-5,Tuesday,4.4,2,1
CUST_175,Bangalore South,12-3,Tuesday,11.82,2,1
CUST_176,Bangalore East,10-12,Friday,2.08,3,0
CUST_177,Bangalore South,12-3,Thursday,11.26,1,1
CUST_178,Bangalore Central,10-12,Friday,9.29,3,0
CUST_179,Bangalore North,3-5,Wednesday,14.65,3,1
CUST_180,Bangalore South,10-12,Friday,11.67,2,0
CUST_181,Bangalore Central,12-3,Tuesday,11.38,3,1
CUST_182,Bangalore South,3-5,Tuesday,11.14,2,1
CUST_183,Bangalore South,10-12,Wednesday,6.3,3,0
CUST_184,Bangalore North,3-5,Monday,6.91,2,1
CUST_185,Bangalore East,3-5,Monday,8.57,1,1
CUST_186,Bangalore North,10-12,Wednesday,6.13,3,1
CUST_187,Bangalore South,3-5,Friday,13.3,2,1
CUST_188,Bangalore North,12-3,Monday,7.89,2,1
CUST_189,Bangalore South,10-12,Monday,5.73,2,1
CUST_190,Bangalore South,3-5,Monday,1.79,1,1
CUST_191,Bangalore South,12-3,Monday,10.17,2,1
CUST_192,Bangalore North,10-12,Tuesday,11.27,2,1
CUST_193,Bangalore East,12-3,Thursday,13.41,2,0
CUST_194,Bangalore North,10-12,Friday,10.74,3,1
CUST_195,Bangalore South,12-3,Tuesday,13.2,2,1
CUST_196,Bangalore Central,12-3,Thursday,3.23,2,1
CUST_197,Bangalore North,3-5,Monday,4.28,2,0
CUST_198,Bangalore Central,3-5,Thursday,6.51,2,1
CUST_199,Bangalore East,10-12,Tuesday,4.11,2,0
CUST_200,Bangalore Central,3-5,Tuesday,14.53,2,1
CUST_201,Bangalore Central,12-3,Wednesday,1.33,3,0
CUST_202,Bangalore Central,12-3,Wednesday,6.53,3,0
CUST_203,Bangalore North,3-5,Monday,12.57,1,1
CUST_204,Bangalore East,10-12,Monday,13.58,2,0
CUST_205,Bangalore Central,12-3,Thursday,7.37,2,1
CUST_206,Bangalore North,12-3,Friday,3.79,2,0
CUST_207,Bangalore North,12-3,Thursday,10.9,2,1
CUST_208,Bangalore North,10-12,Friday,9.01,2,1
CUST_209,Bangalore Central,10-12,Thursday,3.15,2,0
CUST_210,Bangalore East,10-12,Tuesday,3.79,2,0
CUST_211,Bangalore Central,12-3,Tuesday,7.55,1,0
CUST_212,Bangalore South,3-5,Monday,2.65,2,1
CUST_213,Bangalore East,12-3,Tuesday,8.81,1,0
CUST_214,Bangalore North,3-5,Monday,14.91,1,1
CUST_215,Bangalore East,10-12,Friday,12.01,3,1
CUST_216,Bangalore Central,12-3,Thursday,14.24,1,0
CUST_217,Bangalore North,3-5,Friday,12.29,3,0
